,layer,dataset_lan,sae_lan,ce
L7-data-mix-sae-zh,7,mix,zh,0.7698223054409027
L7-data-mix-sae-mix,7,mix,mix,0.9766162753105163
L8-data-mix-sae-en,8,mix,en,0.15242392867803572
L8-data-mix-sae-zh,8,mix,zh,0.7631186544895172
L8-data-mix-sae-mix,8,mix,mix,0.9748136222362518
L11-data-mix-sae-en,11,mix,en,0.23064793795347213
L11-data-mix-sae-zh,11,mix,zh,0.7770751893520356
L11-data-mix-sae-mix,11,mix,mix,0.9702852368354797
L13-data-mix-sae-en,13,mix,en,0.3119406685233116
L13-data-mix-sae-zh,13,mix,zh,0.8074895679950714
L13-data-mix-sae-mix,13,mix,mix,0.968177717924118
L17-data-mix-sae-en,17,mix,en,0.844803535938263
L17-data-mix-sae-zh,17,mix,zh,0.9246279180049897
L17-data-mix-sae-mix,17,mix,mix,0.9531719326972962
